EBIT,Industries,Company Name,Editor,Sustainability report,Craftsmanship and production,Educational Development,Community Development and Employment,Emergency Relief and Basic Needs,Food Security and Sustainable Agriculture,Focus
1.87,"Other Consumer Durables, Recreational Goods, Specialty Retail*",Hobbycraft Trading Ltd,MC,https://www.hobbycraft.co.uk/on/demandware.static/-/Library-Sites-hobbycraft-uk-content/default/dw1c2a8a32/images/static-pages/corporate-and-press/further-information/social-responsibility/Hobbycraft_ESG_Deck_Aug_22.pdf?utm_source=chatgpt.com,True,True,False,False,False,helping our communities with their crafting projects
66.23,"Leisure Facilities*, Other Restaurants, Hotels and Leisure",Hollywood Bowl Group PIc,MC,https://www.hollywoodbowlgroup.com/application/files/5017/0428/8902/03.01.24_3_Hollywood_Bowl_Group_plc_Annual_report_and_accounts_2023.pdf?utm_source=chatgpt.com,False,True,False,False,False,"Ongoing support for local and national charities, s charity fundraising events (are working with a national charity partner Barnardo’s UK)"
147.04,"Other Commercial Services, Real Estate Services (B2C)*",HomeServe PLC,MC,https://www.homeservegroup.com/media/o3qdnf5t/homeserve-plc-annual-report-fy22.pdf?utm_source=chatgpt.com,True,False,False,False,True,"HomeServe Foundation as  registered charity, focused on tackling the UK skills shortage in the trades sector, raise money for humanitarian crisis"
395.2,"Construction and Engineering, Other Commercial Services*, Wood/Hard Products",Howden Joinery Group PLC,MC,https://www.howdenjoinerygroupplc.com/docs/librariesprovider25/archives/2023ar/02-sustainability-matters.pdf?utm_source=chatgpt.com,False,False,False,False,False,"upporting disabled young adults to find valuable roles within their communities, mental  health in the construction industry"
15.92,"Industrial Supplies and Parts, Machinery (B2B), Other Commercial Services*",HSS ProService Limited,MC,https://www.hss.com/medias/sys_master/root/9082324025374.pdf,True,True,False,False,False,Pennies From Heaven scheme which donates the spare pennies from colleagues’ monthly salary to charity.
71.36,"Oil and Gas Equipment*, Other Commercial Products",Hunting PLC,MC,https://media.huntingplc.com/investors/results-and-reports/2023/hunting-annual-report-and-accounts-2023.pdf?utm_source=chatgpt.com,True,False,False,False,True,"donate to UK charities all unclaimed dividends, with a small committee, led by the Finance Director, agreeing the charitable donations, actively supported three orphanages in Batam"
120.22,"Buildings and Property, Real Estate Services (B2C)*",Hyde Housing Association Ltd,MC,https://www.hyde-housing.co.uk/media/d53fjubc/hyde-sustainability-report-2022-23.pdf,False,False,False,False,False,Hyde Charitable Trust (HCT) 
24.73,"Other Commercial Products, Recreational Goods*",IG Design Group PLC,MC,https://www.thedesigngroup.com/wp-content/uploads/2023/07/Proof_11_DG_AR23.pdf?utm_source=chatgpt.com,False,True,True,False,False,"Local initiatives supporting local communities and national charities, donate both cash and inventory"
259.58,Other Capital Markets/Institutions*,IG Group Holdings PLC,MC,https://annualreport.iggroup.com/2024,False,True,False,False,False," pledge the equivalent of 1% of the prior financial year’s post-tax profits to charitable causes (education, with a focus on financial literacy, as well as science, technology, engineering, and mathematics (STEM) subjects)"
1312.37,Consulting Services (B2B)*,IHS Markit Ltd.,MC,https://www.spglobal.com/content/dam/spglobal/corporate/en/documents/organization/who-we-are/sp-global-impact-report-2023.pdf,False,True,False,True,False,matched employee charitable donations and volunteering 
